puskesmas_id,wilayah,puskesmas_name,puskesmas_title,n_reviews,n_empty,n_very_short,n_with_rating,rating_mean,rating_median,rating_std,text_length_mean,text_length_median
PKM_SBY_002,Surabaya,Bangkingan,Puskesmas Bangkingan,145,48,56,145,4.03,5.0,1.63,92.96,39.0
PKM_SBY_003,Surabaya,Banyu  Urip,Puskesmas Banyu Urip,424,111,132,424,3.85,5.0,1.69,129.29,50.0
PKM_SBY_004,Surabaya,Bulak  Banteng,Puskesmas Bulak Banteng Kota Surabaya,348,77,104,348,4.04,5.0,1.64,104.21,47.5
PKM_SBY_005,Surabaya,Dukuh  Kupang,Puskesmas Dukuh Kupang,944,224,302,944,4.24,5.0,1.47,87.81,42.0
PKM_SBY_006,Surabaya,Gayungan,Puskesmas Gayungan,718,175,223,718,4.04,5.0,1.59,107.89,49.0
PKM_SBY_007,Surabaya,Gunung  Anyar,Puskesmas Gunung Anyar,736,219,287,736,3.89,5.0,1.68,114.65,40.0
PKM_SBY_008,Surabaya,Jagir,Puskesmas Jagir,859,288,343,859,4.13,5.0,1.56,90.52,35.0
PKM_SBY_009,Surabaya,Jemursari,Puskesmas Jemursari,557,153,201,557,4.25,5.0,1.45,92.01,38.0
PKM_SBY_010,Surabaya,Kalijudan,Puskesmas Kalijudan,707,188,279,707,4.4,5.0,1.37,67.33,30.0
PKM_SBY_011,Surabaya,Kebonsari,Puskesmas Kebonsari,738,121,181,738,4.18,5.0,1.52,115.18,49.0
PKM_SBY_012,Surabaya,Kedurus,Puskesmas Kedurus,394,151,175,394,4.01,5.0,1.63,99.58,31.0
PKM_SBY_013,Surabaya,Keputih,Puskesmas Keputih,596,132,180,596,3.69,5.0,1.79,142.69,56.0
PKM_SBY_014,Surabaya,Klampis  Ngasem,Puskesmas Klampis Ngasem,624,199,241,624,4.38,5.0,1.35,90.55,34.0
PKM_SBY_015,Surabaya,Made,Puskesmas Made,188,22,33,188,3.44,5.0,1.82,133.5,74.5
PKM_SBY_016,Surabaya,Menur,Puskesmas Menur,433,91,115,433,3.72,5.0,1.75,152.84,64.0
PKM_SBY_017,Surabaya,Morokrembangan,Puskesmas Morokrembangan,601,120,186,601,4.14,5.0,1.57,90.92,39.0
PKM_SBY_018,Surabaya,Mulyorejo,Puskesmas Mulyorejo Surabaya,504,127,169,504,4.24,5.0,1.47,111.08,47.0
PKM_SBY_019,Surabaya,Ngagel  Rejo,Puskesmas Ngagel Rejo,705,127,184,705,4.34,5.0,1.38,102.65,49.0
PKM_SBY_020,Surabaya,Pakis,Puskesmas Pakis,632,150,205,632,4.4,5.0,1.38,79.37,36.0
PKM_SBY_021,Surabaya,Putat  Jaya,Puskesmas Putat Jaya,421,116,145,421,3.98,5.0,1.68,89.67,40.0
PKM_SBY_022,Surabaya,Sawah  Pulo,Puskesmas Sawah Pulo,529,109,185,529,4.68,5.0,1.05,76.98,34.0
PKM_SBY_023,Surabaya,Sawahan,Puskesmas Sawahan,481,220,238,481,4.19,5.0,1.51,88.53,20.0
PKM_SBY_024,Surabaya,Sidosermo,PUSKESMAS SIDOSERMO,24,9,14,24,4.83,5.0,0.82,32.92,17.0
PKM_SBY_025,Surabaya,Siwalankerto,UPTD Puskesmas Siwalankerto Surabaya,287,43,61,287,3.62,5.0,1.78,151.06,77.0
PKM_SBY_026,Surabaya,Tambak  Wedi,Puskesmas Tambak Wedi,339,82,129,339,4.28,5.0,1.44,104.23,29.0
PKM_SBY_027,Surabaya,Wiyung,Puskesmas Wiyung,465,126,161,465,3.71,5.0,1.76,118.65,48.0
PKM_SBY_028,Surabaya,Wonokromo,Puskesmas Wonokromo,491,130,182,491,4.1,5.0,1.56,94.25,38.0
PKM_SBY_029,Surabaya,Asemrowo,Puskesmas Asemrowo,393,118,141,393,4.24,5.0,1.5,91.07,35.0
PKM_SBY_030,Surabaya,Balongsari,Puskesmas Balongsari,510,96,123,510,4.12,5.0,1.59,120.92,62.5
PKM_SBY_031,Surabaya,Benowo,Puskesmas Benowo,600,106,162,600,4.51,5.0,1.23,94.46,53.0
PKM_SBY_032,Surabaya,Dr Soetomo,Puskesmas Dr. Soetomo,825,143,228,825,4.19,5.0,1.56,92.72,41.0
PKM_SBY_033,Surabaya,Dupak,Puskesmas Dupak Surabaya,369,120,138,369,4.21,5.0,1.5,123.93,47.0
PKM_SBY_034,Surabaya,Gading,Puskesmas Gading,1187,194,395,1187,4.37,5.0,1.39,72.31,32.0
PKM_SBY_035,Surabaya,Gundih,Puskesmas Gundih,316,73,104,316,3.9,5.0,1.72,99.26,40.5
