Puskesmas,Dimensi,z,p_value,Kesimpulan
Banguntapan 2,Empathy,-1.083,0.2789,Gagal tolak H0 (setara)
Banguntapan 3,Empathy,1.9,0.0575,Gagal tolak H0 (setara)
Bantul 1,Empathy,2.303,0.0213,Tolak H0 — lebih sering dikeluhkan
Bantul 2,Empathy,0.669,0.5038,Gagal tolak H0 (setara)
Dlingo 1,Empathy,0.535,0.5929,Gagal tolak H0 (setara)
Dlingo 2,Empathy,-1.108,0.268,Gagal tolak H0 (setara)
Imogiri 1,Empathy,-0.583,0.5598,Gagal tolak H0 (setara)
Imogiri 2,Empathy,-0.567,0.5708,Gagal tolak H0 (setara)
Jetis 1,Empathy,-1.098,0.2722,Gagal tolak H0 (setara)
Jetis 2,Empathy,-1.279,0.2008,Gagal tolak H0 (setara)
Kasihan 1,Empathy,1.723,0.085,Gagal tolak H0 (setara)
Kasihan 2,Empathy,-0.766,0.4439,Gagal tolak H0 (setara)
Kretek,Empathy,-2.147,0.0318,Tolak H0 — lebih jarang dikeluhkan
Pajangan,Empathy,0.342,0.7321,Gagal tolak H0 (setara)
Pandak 1,Empathy,-0.728,0.4668,Gagal tolak H0 (setara)
Pandak 2,Empathy,0.794,0.4273,Gagal tolak H0 (setara)
Piyungan,Empathy,-0.859,0.3902,Gagal tolak H0 (setara)
Pleret,Empathy,-0.39,0.6964,Gagal tolak H0 (setara)
Pundong,Empathy,-0.005,0.9959,Gagal tolak H0 (setara)
Sanden,Empathy,2.128,0.0333,Tolak H0 — lebih sering dikeluhkan
Sedayu 1,Empathy,-0.946,0.3443,Gagal tolak H0 (setara)
Sedayu 2,Empathy,-1.754,0.0795,Gagal tolak H0 (setara)
Sewon 1,Empathy,-0.572,0.5675,Gagal tolak H0 (setara)
Sewon 2,Empathy,0.102,0.9188,Gagal tolak H0 (setara)
Srandakan,Empathy,0.359,0.7197,Gagal tolak H0 (setara)
Balas  Klumprik,Empathy,-0.946,0.3443,Gagal tolak H0 (setara)
Bangkingan,Empathy,-0.946,0.3443,Gagal tolak H0 (setara)
Banyu  Urip,Empathy,0.103,0.9178,Gagal tolak H0 (setara)
Bulak  Banteng,Empathy,-0.042,0.9665,Gagal tolak H0 (setara)
Dukuh  Kupang,Empathy,-1.602,0.1091,Gagal tolak H0 (setara)
Gayungan,Empathy,0.785,0.4322,Gagal tolak H0 (setara)
Gunung  Anyar,Empathy,2.051,0.0403,Tolak H0 — lebih sering dikeluhkan
Jagir,Empathy,0.58,0.5618,Gagal tolak H0 (setara)
Jemursari,Empathy,1.665,0.096,Gagal tolak H0 (setara)
Kalijudan,Empathy,2.244,0.0248,Tolak H0 — lebih sering dikeluhkan
Kebonsari,Empathy,0.97,0.3319,Gagal tolak H0 (setara)
Kedurus,Empathy,1.724,0.0847,Gagal tolak H0 (setara)
Keputih,Empathy,1.631,0.1028,Gagal tolak H0 (setara)
Klampis  Ngasem,Empathy,-1.612,0.107,Gagal tolak H0 (setara)
Made,Empathy,1.839,0.066,Gagal tolak H0 (setara)
Menur,Empathy,0.463,0.6436,Gagal tolak H0 (setara)
Morokrembangan,Empathy,3.066,0.0022,Tolak H0 — lebih sering dikeluhkan
Mulyorejo,Empathy,1.225,0.2206,Gagal tolak H0 (setara)
Ngagel  Rejo,Empathy,2.668,0.0076,Tolak H0 — lebih sering dikeluhkan
Pakis,Empathy,0.205,0.8373,Gagal tolak H0 (setara)
Putat  Jaya,Empathy,1.279,0.2009,Gagal tolak H0 (setara)
Sawah  Pulo,Empathy,1.484,0.1378,Gagal tolak H0 (setara)
Sawahan,Empathy,1.177,0.2393,Gagal tolak H0 (setara)
Sidosermo,Empathy,0.965,0.3344,Gagal tolak H0 (setara)
Siwalankerto,Empathy,0.908,0.3637,Gagal tolak H0 (setara)
Tambak  Wedi,Empathy,1.692,0.0906,Gagal tolak H0 (setara)
Wiyung,Empathy,5.127,0.0,Tolak H0 — lebih sering dikeluhkan
Wonokromo,Empathy,-0.323,0.7469,Gagal tolak H0 (setara)
Asemrowo,Empathy,1.28,0.2005,Gagal tolak H0 (setara)
