review_id,puskesmas_id,puskesmas_name,puskesmas_title,wilayah,rating,review_text,reviewer_name,review_url,puskesmas_url,source_file,text_length,is_empty_text,is_very_short,has_rating,emoji_saja
PKM_BTL_013_R0595_45a0d99f,PKM_BTL_013,Kasihan 1,Puskesmas Kasihan I,Bantul,5,👍,dedy Satria,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5dGIzbFlNUzAyYTJWTldXeHJaVGsxU0UxT2VGRRAB!2m1!1s0x0:0x72d4d70bfbef3e25!3m1!1s2@1:CAIQACodChtycF9oOk9tb3lYMS02a2VNWWxrZTk1SE1OeFE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kasihan%20I&query_place_id=ChIJAWZ_kWH4ei4RJT7v-wvX1HI,Puskesmas Kasihan 1.csv,1,False,True,True,True
PKM_BTL_013_R0748_808997e1,PKM_BTL_013,Kasihan 1,Puskesmas Kasihan I,Bantul,5,👍,Asa,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xaQ1JtbE9RMHRLWjFGWk5tTmpVVFV5YTFFeFdsRRAB!2m1!1s0x0:0x72d4d70bfbef3e25!3m1!1s2@1:CAIQACodChtycF9oOlZCRmlOQ0tKZ1FZNmNjUTUya1ExWlE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kasihan%20I&query_place_id=ChIJAWZ_kWH4ei4RJT7v-wvX1HI,Puskesmas Kasihan 1.csv,1,False,True,True,True
PKM_BTL_013_R1369_0da6899d,PKM_BTL_013,Kasihan 1,Puskesmas Kasihan I,Bantul,3,😌,Bayu Noviantoro,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURBOGV1TFF3EAE!2m1!1s0x0:0x72d4d70bfbef3e25!3m1!1s2@1:CIHM0ogKEICAgIDA8euLQw%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kasihan%20I&query_place_id=ChIJAWZ_kWH4ei4RJT7v-wvX1HI,Puskesmas Kasihan 1.csv,1,False,True,True,True
PKM_BTL_019_R0174_0fcecb99,PKM_BTL_019,Piyungan,Puskesmas Piyungan,Bantul,5,👍👍👍,RATNA PUSPITASARI,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxMDdDeWhBRRAB!2m1!1s0x0:0xb23d11ba46298184!3m1!1s2@1:CIHM0ogKEICAgIC107CyhAE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Piyungan&query_place_id=ChIJdwkol95Qei4RhIEpRroRPbI,Puskesmas Piyungan.csv,3,False,True,True,True
PKM_BTL_019_R0265_ba8c7ffd,PKM_BTL_019,Piyungan,Puskesmas Piyungan,Bantul,5,👍,Ainiii Dwiii,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4dlBHemZREAE!2m1!1s0x0:0xb23d11ba46298184!3m1!1s2@1:CIHM0ogKEICAgICxvPGzfQ%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Piyungan&query_place_id=ChIJdwkol95Qei4RhIEpRroRPbI,Puskesmas Piyungan.csv,1,False,True,True,True
PKM_BTL_019_R0267_82616aad,PKM_BTL_019,Piyungan,Puskesmas Piyungan,Bantul,5,👍🏻👍🏻👍🏻,Intan Steva,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN4dkw2QTJBRRAB!2m1!1s0x0:0xb23d11ba46298184!3m1!1s2@1:CIHM0ogKEICAgICxvL6A2AE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Piyungan&query_place_id=ChIJdwkol95Qei4RhIEpRroRPbI,Puskesmas Piyungan.csv,6,False,True,True,True
PKM_BTL_019_R0292_7a4d7ed8,PKM_BTL_019,Piyungan,Puskesmas Piyungan,Bantul,5,👍,Nur Aini,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCLTVIbFhBEAE!2m1!1s0x0:0xb23d11ba46298184!3m1!1s2@1:CIHM0ogKEICAgIDB-5HlXA%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Piyungan&query_place_id=ChIJdwkol95Qei4RhIEpRroRPbI,Puskesmas Piyungan.csv,1,False,True,True,True
PKM_BTL_019_R0369_099af4da,PKM_BTL_019,Piyungan,Puskesmas Piyungan,Bantul,4,💭,CupiidMusliha CupidSalon,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNTb3VMMVhBEAE!2m1!1s0x0:0xb23d11ba46298184!3m1!1s2@1:CIHM0ogKEICAgICSouL1XA%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Piyungan&query_place_id=ChIJdwkol95Qei4RhIEpRroRPbI,Puskesmas Piyungan.csv,1,False,True,True,True
PKM_BTL_020_R0037_9b98c2ab,PKM_BTL_020,Pleret,Puskesmas Pleret,Bantul,5,👍👍👍,Rahmad Arifin,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21JMWVFdFVjbWRwVURONVZHRlZPVXBmZGsxRFpHYxAB!2m1!1s0x0:0x18b9e1f6e71c94f3!3m1!1s2@1:CAIQACodChtycF9oOmI1eEtUcmdpUDN5VGFVOUpfdk1DZGc%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pleret&query_place_id=ChIJj4ZDADZUei4R85Qc5_bhuRg,Puskesmas Pleret.csv,3,False,True,True,True
PKM_BTL_021_R0136_d6648ea1,PKM_BTL_021,Pundong,Puskesmas Pundong,Bantul,5,👍👍👍,Daniel Chandra,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGNllmakd3EAE!2m1!1s0x0:0x83ac2fc7dfc28203!3m1!1s2@1:CIHM0ogKEICAgIDF6YfjGw%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pundong&query_place_id=ChIJB7xngk9Vei4RA4LC38cvrIM,Puskesmas Pundong.csv,3,False,True,True,True
PKM_BTL_022_R0043_9d08fcfd,PKM_BTL_022,Sanden,Puskesmas Sanden Kabupaten Bantul (IGD),Bantul,5,👍🏻,Nabila Sulaksono,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21OcmNXdzJjekpwVGs5MFF6UkpNelZTY1RGQ1JWRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOmNrcWw2czJpTk90QzRJMzVScTFCRVE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q,Puskesmas Sanden.csv,2,False,True,True,True
PKM_BTL_023_R0059_9177ccc5,PKM_BTL_023,Sedayu 1,Puskesmas Sedayu I,Bantul,5,👍👍👍,SHEILA KHOLIDA NI'MAH,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aa2NUWXlRMGxDTTNJMFEzRmthVmc0U1RCUlowRRAB!2m1!1s0x0:0xd0e9647028ea9871!3m1!1s2@1:CAIQACodChtycF9oOmZkcTYyQ0lCM3I0Q3FkaVg4STBRZ0E%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sedayu%20I&query_place_id=ChIJDRfjI875ei4RcZjqKHBk6dA,Puskesmas Sedayu 1.csv,3,False,True,True,True
