term,z_score,n_neg,n_pos
malah,-28.49,1845,70
buruk,-23.33,1217,35
tolong,-23.05,1419,161
padahal,-22.14,1319,154
sakit,-20.44,1863,645
kurang,-20.11,1495,393
minta,-19.65,1261,260
nunggu,-19.56,1293,287
apa,-19.28,1465,427
bilang,-18.39,826,58
disuruh,-17.24,708,41
lagi,-17.14,2011,1055
surat,-16.75,1171,370
suruh,-16.34,642,40
lama,-16.22,1907,1043
kecewa,-15.86,616,44
katanya,-15.83,607,40
tau,-15.75,788,152
kerja,-14.29,691,153
datang,-14.12,1240,601
bukan,-14.06,753,207
dipanggil,-13.64,607,124
masih,-13.35,947,397
kenapa,-13.27,450,41
bayar,-13.24,599,135
lain,-12.68,798,311
baru,-12.58,1081,564
obat,-12.5,1345,823
nomer,-12.43,541,128
diperbaiki,-12.25,410,50
rujukan,-12.22,1063,572
parah,-12.08,338,15
nomor,-11.95,628,212
harusnya,-11.92,363,33
alasan,-11.9,325,13
panggil,-11.8,373,42
tanya,-11.8,681,261
minta surat,-11.69,397,60
masuk,-11.67,746,322
jangan,-11.6,509,138
belum,-11.49,577,193
ketus,-11.3,348,42
tutup,-11.27,384,65
balik,-10.99,404,87
mengecewakan,-10.96,323,37
mohon,-10.9,630,263
judes,-10.9,353,57
sy,-10.77,791,412
bagian,-10.58,922,548
seharusnya,-10.42,277,25
masa,-10.38,293,35
gimana,-10.31,274,26
pdhl,-10.26,277,29
niat,-10.22,235,7
karna,-10.19,578,253
nada,-10.15,249,16
mana,-10.15,304,48
sendiri,-10.11,391,108
jelek,-10.1,245,15
akhirnya,-10.08,370,94
no,-10.06,468,168
kurang ramah,-9.92,302,53
ngomong,-9.88,243,19
lambat,-9.78,237,18
11,-9.74,291,51
dulu,-9.68,659,351
minta rujukan,-9.67,354,96
anda,-9.67,286,50
pas,-9.56,544,253
perbaiki,-9.49,246,30
masak,-9.44,210,11
12,-9.44,254,36
ternyata,-9.41,505,226
mending,-9.41,229,22
jawab,-9.17,282,61
eh,-9.09,225,27
dateng,-9.06,264,52
kata,-9.01,248,43
tua,-8.96,241,40
10,-8.92,373,136
rs,-8.76,419,180
ditanya,-8.76,241,45
pake,-8.71,342,119
30,-8.69,369,141
kasar,-8.59,168,6
dibilang,-8.47,175,12
tolong diperbaiki,-8.4,163,7
tensi,-8.35,281,84
diperiksa,-8.32,245,59
blm,-8.31,224,45
umum,-8.23,960,754
awal,-8.19,438,220
daftar,-8.12,660,439
pulang,-8.1,266,80
kurang baik,-7.99,160,13
istirahat,-7.98,187,29
bpjs,-7.97,994,812
tinggi,-7.95,248,71
ganti,-7.92,188,31
keluar,-7.83,250,76
punya,-7.81,278,98
setengah,-7.8,157,15
ditolak,-7.8,148,10
jgn,-7.7,174,27
bentak,-7.69,137,6
maaf,-7.63,336,152
surat rujukan,-7.62,299,121
attitude,-7.57,135,7
surat dokter,-7.53,128,4
aneh,-7.52,137,9
pihak,-7.48,250,86
biar,-7.46,320,144
tersebut,-7.44,187,41
uang,-7.44,159,23
pakai,-7.34,388,210
sedangkan,-7.31,158,25
marah,-7.3,132,10
kasian,-7.3,156,24
hampir,-7.26,191,48
bukannya,-7.15,116,4
hasil,-7.14,300,138
anak,-7.11,1347,1308
bicara,-7.11,135,15
ngobrol,-7.08,141,19
tpi,-7.03,172,40
dtg,-7.02,170,39
kurang memuaskan,-6.98,113,5
percuma,-6.87,104,2
duluan,-6.86,117,9
lg,-6.84,243,99
bad,-6.84,103,2
gaada,-6.84,118,10
jutek,-6.84,180,50
jawabnya,-6.81,104,3
gaji,-6.8,102,2
besok,-6.79,140,24
ambil,-6.79,405,250
disitu,-6.78,146,28
trs,-6.7,174,49
gabisa,-6.7,114,10
lemot,-6.69,129,19
telat,-6.67,138,25
salah,-6.63,347,200
lelet,-6.63,119,14
giliran,-6.57,119,15
tolak,-6.56,99,4
etika,-6.54,104,7
buang,-6.52,92,1
hp,-6.52,153,38
pemerintah,-6.49,190,66
malah disuruh,-6.48,91,1
nama,-6.43,197,73
alasannya,-6.41,91,2
evaluasi,-6.4,109,12
posisi,-6.37,115,16
usah,-6.36,123,21
keterangan,-6.34,254,124
kali,-6.34,722,620
liat,-6.34,119,19
nunggu lama,-6.3,200,79
kapok,-6.27,93,5
disuruh nunggu,-6.26,85,1
priksa,-6.26,274,145
tolong perbaiki,-6.24,96,7
tgl,-6.23,189,72
demam,-6.2,126,26
pdhal,-6.2,107,14
gunanya,-6.19,83,1
tadi,-6.19,243,119
beda,-6.17,181,67
sakit malah,-6.15,84,2
bahwa,-6.14,129,29
males,-6.13,100,11
nanya,-6.11,131,31
uda,-6.09,150,45
kosong,-6.05,103,14
galak,-6.05,119,24
jaga,-6.04,233,115
dipersulit,-6.04,114,21
sya,-6.01,193,81
tanpa,-5.97,312,192
suruh nunggu,-5.95,81,3
depan,-5.95,398,281
knp,-5.94,90,8
minta tolong,-5.93,108,19
nyolot,-5.91,74,0
diperbaiki lagi,-5.89,94,11
bawa,-5.89,227,114
kyk,-5.87,95,12
langsung,-5.87,634,549
jawaban,-5.87,95,12
surat keterangan,-5.86,208,98
15,-5.84,157,56
ngapain,-5.84,80,4
00,-5.82,219,109
pusing,-5.82,92,11
cm,-5.81,111,23
ae,-5.79,71,0
entah,-5.78,104,19
bagaimana,-5.77,130,37
satu,-5.74,372,263
segera,-5.74,158,59
balik lagi,-5.73,106,21
seenaknya,-5.72,77,4
sampek,-5.7,117,29
batuk,-5.69,149,53
mentang,-5.67,74,3
habis,-5.66,217,112
jm,-5.66,107,23
nyeri,-5.62,106,23
dibentak,-5.59,72,3
gatau,-5.59,83,9
malah suruh,-5.59,66,0
seorang,-5.57,91,14
kejadian,-5.56,77,6
ibu2,-5.56,127,39
jawabannya,-5.55,73,4
sumpah,-5.53,90,14
main,-5.52,102,22
siapa,-5.51,112,29
gmn,-5.51,72,4
nada tinggi,-5.51,74,5
tiba,-5.5,103,23
ampun,-5.5,70,3
sistem,-5.45,263,163
sakit hati,-5.42,68,3
mati,-5.39,80,10
istri,-5.39,209,113
20,-5.36,101,24
ruwet,-5.35,79,10
coba,-5.33,130,46
bolak,-5.32,126,43
terkesan,-5.3,108,30
14,-5.3,98,23
gt,-5.29,67,4
sakit apa,-5.29,69,5
baru datang,-5.26,77,10
blg,-5.24,64,3
beli,-5.23,89,18
mohon diperbaiki,-5.22,71,7
kembali,-5.22,213,122
ijin,-5.19,104,29
panggilan,-5.18,156,71
urut,-5.17,102,28
persulit,-5.17,75,10
susah,-5.14,135,54
sakitnya,-5.14,100,27
eh malah,-5.14,56,0
duduk,-5.13,177,91
diganti,-5.13,74,10
bolak balik,-5.13,121,43
darah,-5.12,289,202
periksa,-5.1,1244,1379
bpjs bayar,-5.1,75,11
resep,-5.09,116,40
cek,-5.06,539,488
lo,-5.06,62,4
terburuk,-5.05,54,0
ditanyain,-5.04,67,7
namanya,-5.04,171,88
heran,-5.02,78,14
data,-5.01,135,57
emosi,-5.01,61,4
mata,-4.99,132,55
perempuan,-4.99,85,19
cara,-4.98,256,173
lama padahal,-4.98,62,5
tahu,-4.97,134,57
alhasil,-4.95,70,10
badan,-4.95,137,60
nanti,-4.91,130,55
lain kali,-4.87,58,4
main hp,-4.87,56,3
dikira,-4.87,56,3
asal,-4.87,88,23
marah2,-4.87,56,3
diminta,-4.86,82,19
bukan malah,-4.86,50,0
lab,-4.85,474,423
perhatikan,-4.84,71,12
diagnosa,-4.84,77,16
kesakitan,-4.82,57,4
bentak2,-4.81,51,1
keadaan,-4.8,92,27
malah bilang,-4.76,48,0
suruh balik,-4.76,52,2
sok,-4.75,59,6
keterangan sakit,-4.74,57,5
kena,-4.74,105,38
izin,-4.73,89,26
mlh,-4.72,53,3
baru dipanggil,-4.71,47,0
pdahal,-4.69,56,5
suami,-4.69,105,39
lemes,-4.69,56,5
meminta,-4.68,106,40
menunggu,-4.67,464,421
apa gunanya,-4.66,46,0
lha,-4.66,50,2
08,-4.66,90,28
niat kerja,-4.66,48,1
masalah,-4.66,178,105
dri,-4.65,104,39
cari,-4.65,115,48
sikap,-4.65,76,18
makan,-4.64,139,69
perbaiki lagi,-4.64,55,5
gpp,-4.63,65,11
lihat,-4.63,111,45
wong,-4.63,53,4
kurang sopan,-4.61,49,2
setidaknya,-4.61,49,2
kondisi,-4.61,225,154
berjam,-4.59,54,5
minimal,-4.58,67,13
kebanyakan,-4.58,70,15
dua,-4.58,112,47
mohon maaf,-4.57,107,43
lagi sakit,-4.56,65,12
ngegas,-4.56,46,1
belum dipanggil,-4.56,48,2
capek,-4.55,68,14
pukul,-4.54,117,52
2x,-4.53,119,54
manggil,-4.53,53,5
perut,-4.53,66,13
sma,-4.53,72,17
oknum,-4.53,53,5
sedang,-4.53,172,103
keburu,-4.52,51,4
terlalu,-4.52,312,252
jwb,-4.51,43,0
dulu baru,-4.51,56,7
pernah,-4.5,392,345
dlu,-4.49,85,27
tlg,-4.49,62,11
kl,-4.48,95,35
tetapi,-4.46,167,100
pake bpjs,-4.46,92,33
sibuk,-4.46,69,16
berbicara,-4.46,66,14
diam,-4.46,48,3
dikasi,-4.46,66,14
payah,-4.45,44,1
terjadi,-4.45,84,27
dinkes,-4.45,44,1
penyakit,-4.44,155,89
buk,-4.43,70,17
untung,-4.43,61,11
pantas,-4.43,51,5
bilangnya,-4.42,49,4
krna,-4.41,91,33
urutan,-4.41,91,33
gausah,-4.4,43,1
buku,-4.4,79,24
akal,-4.4,45,2
sidak,-4.4,45,2
dokter umum,-4.39,141,77
lgi,-4.38,60,11
mbok,-4.38,50,5
cuek,-4.38,60,11
dipanggil2,-4.38,50,5
jahat,-4.36,61,12
bahkan,-4.36,182,118
igd,-4.36,170,106
dibayar,-4.35,44,2
laki,-4.35,82,27
sekalian,-4.33,72,20
panas,-4.32,164,101
publik,-4.31,96,39
tindak,-4.3,63,14
apa2,-4.3,45,3
tertera,-4.3,77,24
panggil2,-4.29,41,1
dibenahi,-4.28,58,11
itupun,-4.26,46,4
surat ijin,-4.26,46,4
mentang2,-4.24,38,0
dokter malah,-4.24,40,1
manusia,-4.23,60,13
bertanya,-4.22,161,101
minus,-4.22,67,18
dinas,-4.22,74,23
tertulis,-4.21,52,8
sistemnya,-4.2,61,14
bekerja,-4.2,136,77
tu,-4.2,58,12
lanjut,-4.19,91,37
berharap,-4.19,43,3
rakyat,-4.18,62,15
lempar,-4.18,41,2
aj,-4.18,48,6
ketawa,-4.18,41,2
09,-4.18,62,15
masuk kerja,-4.18,37,0
13,-4.18,73,23
45,-4.17,59,13
surat sakit,-4.16,46,5
orng,-4.16,46,5
tes,-4.16,181,123
ulang,-4.16,94,40
rating,-4.15,54,10
1jam,-4.15,44,4
terlambat,-4.15,67,19
kepala,-4.15,111,55
dalem,-4.15,44,4
keluhan,-4.15,282,234
dicek,-4.13,64,17
daftar online,-4.13,253,202
07,-4.13,116,60
penjaga,-4.13,64,17
tulis,-4.13,52,9
tulisan,-4.12,58,13
tolonglah,-4.12,38,1
disuruh pulang,-4.12,38,1
songong,-4.12,38,1
buruk petugas,-4.12,36,0
tangan,-4.11,88,36
emg,-4.11,65,18
hal,-4.11,157,100
pilek,-4.1,59,14
malas,-4.08,41,3
minta ampun,-4.08,41,3
kurang bagus,-4.08,48,7
dokter bilang,-4.07,35,0
pingsan,-4.07,39,2
masuk akal,-4.07,39,2
nahan,-4.07,37,1
kacamata,-4.07,60,15
pengantar,-4.07,57,13
masker,-4.06,87,36
ni,-4.06,46,6
telpon,-4.05,49,8
ngomongnya,-4.04,52,10
bagian pendaftaran,-4.04,144,89
terpaksa,-4.03,42,4
aturan,-4.03,79,30
gara2,-4.03,47,7
dipanggil panggil,-4.01,34,0
membentak,-4.01,36,1
gada,-4.01,36,1
meriksa,-3.99,57,14
disuruh balik,-3.99,43,5
nunggu lagi,-3.97,41,4
bicaranya,-3.97,46,7
hasil lab,-3.97,79,31
opo,-3.96,39,3
ingat,-3.96,49,9
sebelumnya,-3.96,172,120
tanggung,-3.95,44,6
gila,-3.95,33,0
berbeda,-3.94,63,19
muka,-3.93,42,5
ibunya,-3.93,53,12
kelewat,-3.93,42,5
rumah sakit,-3.93,146,94
pikir,-3.92,40,4
msh,-3.92,78,31
jujur,-3.92,84,36
pintu,-3.91,102,52
guna,-3.9,38,3
didepan,-3.89,81,34
ngecek,-3.89,34,1
skd,-3.89,32,0
sembuh malah,-3.89,32,0
buruk ramah,-3.89,32,0
kerjaan,-3.87,41,5
apa apa,-3.86,56,15
sesama,-3.86,39,4
belom,-3.85,53,13
tukang,-3.85,106,57
gejala,-3.85,44,7
dijawab,-3.84,96,48
serius,-3.84,37,3
nungguin,-3.84,37,3
pindah,-3.83,186,139
gajelas,-3.83,35,2
surat berobat,-3.83,35,2
dilempar,-3.83,35,2
omongannya,-3.83,31,0
maksud,-3.83,31,0
buruk dokter,-3.83,31,0
bayar bpjs,-3.83,35,2
muntah,-3.82,45,8
tidur,-3.79,46,9
dahulukan,-3.79,46,9
40,-3.79,49,11
suara,-3.78,60,19
anak sakit,-3.78,60,19
tsb,-3.78,60,19
mungkin,-3.78,277,244
perusahaan,-3.78,36,3
sungguh,-3.77,90,44
mondar,-3.77,34,2
kia lama,-3.77,30,0
baik malah,-3.77,34,2
dibikin,-3.77,30,0
ulasan,-3.76,104,57
pantes,-3.76,32,1
sepi,-3.76,92,46
menghargai,-3.76,57,17
blas,-3.76,32,1
pergi,-3.76,57,17
mlah,-3.76,32,1
wes,-3.74,58,18
kertas,-3.74,58,18
pink,-3.73,37,4
paracetamol,-3.73,37,4
telfon,-3.73,37,4
makanya,-3.73,48,11
puasa,-3.73,42,7
normal,-3.72,91,46
nangis,-3.72,59,19
seorang dokter,-3.72,35,3
kacau,-3.72,35,3
rujuk,-3.72,69,27
bapak2,-3.71,52,14
surat izin,-3.71,33,2
walikota,-3.71,40,6
diluar,-3.71,83,39
ato,-3.71,40,6
diperhatikan,-3.71,76,33
baju,-3.7,43,8
sakit nunggu,-3.7,31,1
kia buruk,-3.7,29,0
duit,-3.7,31,1
jelas2,-3.7,31,1
lamban,-3.7,31,1
35,-3.7,31,1
berobat malah,-3.7,29,0
yaudah,-3.7,29,0
iki,-3.69,38,5
kapan,-3.69,66,25
terlebih,-3.69,66,25
td,-3.68,67,26
ditunggu,-3.68,50,13
tanggal,-3.67,103,58
17,-3.67,58,19
smpe,-3.67,73,31
radang,-3.67,36,4
tanya petugas,-3.66,34,3
selesai,-3.65,206,167
sebenarnya,-3.65,59,20
arogan,-3.64,30,1
mandir,-3.64,32,2
potong,-3.64,30,1
nyawa,-3.64,28,0
tiba2,-3.64,48,12
rujukan malah,-3.64,28,0
kurang enak,-3.64,30,1
buruk lama,-3.64,28,0
katanya suruh,-3.64,28,0
mondar mandir,-3.64,32,2
hak,-3.64,30,1
terakhir,-3.63,102,58
ta,-3.63,37,5
kuat,-3.63,56,18
menyarankan,-3.63,37,5
eri,-3.63,37,5
komplain,-3.62,49,13
25,-3.62,49,13
tanggung jawab,-3.61,35,4
mohon perbaiki,-3.61,35,4
mengatakan,-3.61,35,4
konfirmasi,-3.6,82,40
sinis,-3.59,38,6
21,-3.59,38,6
nol,-3.58,31,2
datang lagi,-3.58,41,8
alergi,-3.58,41,8
kesitu,-3.58,41,8
mala,-3.57,29,1
buang buang,-3.57,27,0
belum panggil,-3.57,29,1
teriak,-3.57,29,1
bentak bentak,-3.57,27,0
nada bicara,-3.57,29,1
digaji,-3.57,27,0
mandiri,-3.57,71,31
masih nunggu,-3.57,27,0
malah obat,-3.57,27,0
keras,-3.57,60,22
sebenernya,-3.56,48,13
gara,-3.56,36,5
cewek,-3.55,52,16
trauma,-3.54,49,14
lama nunggu,-3.54,49,14
buka,-3.54,249,221
meja,-3.53,69,30
baru kali,-3.53,69,30
nomer urut,-3.53,32,3
dengar,-3.52,46,12
masi,-3.52,43,10
2025,-3.52,78,38
menyalahkan,-3.51,30,2
tolong tingkatkan,-3.51,26,0
mikir,-3.51,30,2
mainan hp,-3.51,26,0
mnta,-3.51,30,2
disuruh bayar,-3.51,30,2
dokter lain,-3.51,28,1
komputer,-3.51,59,22
buta,-3.51,30,2
sekarat,-3.51,26,0
ditegur,-3.51,30,2
tanyakan,-3.51,50,15
dikatain,-3.51,26,0
suntik,-3.49,117,76
usia,-3.48,67,29
keluhannya,-3.48,52,17
denger,-3.48,41,9
tambah sakit,-3.46,31,3
sakit parah,-3.46,31,3
perlakuan,-3.46,36,6
ko,-3.46,31,3
merah,-3.46,53,18
2jam,-3.46,31,3
terlebih dahulu,-3.45,42,10
dokternya bilang,-3.45,29,2
bengkak,-3.45,42,10
online,-3.45,521,567
hasilnya,-3.45,117,77
bukti,-3.45,39,8
senin,-3.45,120,80
ambil obat,-3.45,96,56
buruk minta,-3.44,25,0
sakit minta,-3.44,25,0
bayi,-3.44,161,124
keterangan berobat,-3.43,34,5
mual,-3.43,34,5
tok,-3.43,34,5
pas masuk,-3.42,37,7
padahal datang,-3.41,32,4
swab,-3.4,100,61
urgent,-3.4,48,15
18,-3.4,44,12
padahal masih,-3.39,30,3
beneran,-3.39,41,10
angkat,-3.39,38,8
niatnya,-3.39,30,3
ditulis,-3.39,35,6
omongan,-3.39,35,6
gamau,-3.39,30,3
blom,-3.38,28,2
segitu,-3.38,28,2
tenggorokan,-3.38,28,2
google,-3.38,65,29
nunggu obat,-3.38,49,16
bad attitude,-3.37,24,0
jengkel,-3.37,26,1
dahak,-3.37,33,5
skit,-3.37,24,0
baca,-3.37,66,30
marahin,-3.37,26,1
nadanya,-3.37,26,1
datang duluan,-3.37,24,0
masih sakit,-3.37,24,0
ditutup,-3.37,33,5
vaksin,-3.36,520,572
umur,-3.36,77,40
50,-3.36,42,11
rujukan rs,-3.35,68,32
kuota,-3.35,46,14
soal,-3.35,61,26
nmr,-3.34,31,4
pekerjaan,-3.34,43,12
masuk umum,-3.34,31,4
pegang,-3.34,31,4
lanjuti,-3.33,40,10
apakah,-3.33,240,219
nyatanya,-3.32,29,3
dievaluasi,-3.32,29,3
mengeluarkan,-3.32,34,6
emng,-3.32,29,3
berkata,-3.32,29,3
langsung masuk,-3.32,37,8
belum selesai,-3.32,29,3
berdiri,-3.32,48,16
antibiotik,-3.32,34,6
marah marah,-3.31,27,2
tolong petugas,-3.3,23,0
brp,-3.3,49,17
ngerti,-3.3,32,5
selasa,-3.3,60,26
surat pengantar,-3.3,25,1
mentang mentang,-3.3,25,1
klau,-3.3,41,11
daripada,-3.3,60,26
obat malah,-3.3,25,1
lemas,-3.29,35,7
pakai bpjs,-3.29,119,83
benahi,-3.27,30,4
input,-3.27,30,4
smpai,-3.27,51,19
dahulu,-3.27,63,29
suhu,-3.27,42,12
ujung,-3.26,33,6
peraturan,-3.26,39,10
mempersulit,-3.26,33,6
dokternya kurang,-3.25,28,3
diangkat,-3.25,28,3
harap,-3.24,53,21
surat sehat,-3.23,86,51
la,-3.23,26,2
nunggu berjam,-3.23,24,1
ngomel,-3.23,24,1
adab,-3.23,24,1
mencerminkan,-3.23,24,1
dikasi obat,-3.23,24,1
dua kali,-3.23,44,14
ngelayanin,-3.23,24,1
mood,-3.23,24,1
berpendidikan,-3.23,26,2
nyuruh,-3.23,26,2
diem,-3.23,31,5
iku,-3.22,22,0
sruh,-3.22,22,0
tes darah,-3.22,37,9
mana tau,-3.22,22,0
sejam,-3.22,34,7
ditindak,-3.22,34,7
berangkat,-3.21,41,12
nunggu dipanggil,-3.2,29,4
buku pink,-3.2,29,4
anak magang,-3.19,32,6
sia,-3.19,35,8
anakku,-3.19,42,13
okelah,-3.19,32,6
kerjanya,-3.19,81,47
membayar,-3.19,38,10
obat apa,-3.18,27,3
suruh bayar,-3.18,27,3
dokter perempuan,-3.18,27,3
tolong diperhatikan,-3.18,27,3
kembalian,-3.18,27,3
dilihat,-3.17,39,11
sopan santun,-3.17,47,17
disayangkan,-3.17,39,11
meremehkan,-3.16,25,2
selang,-3.16,25,2
kn,-3.16,25,2
ujungnya,-3.16,25,2
apaan,-3.15,21,0
dokter kurang,-3.15,23,1
ngambil,-3.15,33,7
dibagian,-3.15,73,40
dtng,-3.15,36,9
rujukan susah,-3.15,21,0
pdhl sy,-3.15,21,0
nunggu hampir,-3.15,21,0
gausa,-3.15,23,1
buruk terutama,-3.15,21,0
suru,-3.15,21,0
tugas,-3.14,55,24
rabu,-3.14,64,32
kira,-3.14,76,43
registrasi,-3.14,55,24
kesalahan,-3.14,40,12
kedua,-3.13,92,59
salep,-3.13,28,4
dibawa,-3.13,37,10
tukang parkir,-3.13,65,33
surat kesehatan,-3.13,50,20
bener2,-3.13,65,33
tlong,-3.12,31,6
sesak,-3.12,34,8
ditolak alasan,-3.11,26,3
disuruh ambil,-3.11,26,3
diperhatikan lagi,-3.11,26,3
protes,-3.11,26,3
anaknya,-3.11,59,28
koq,-3.11,26,3
maaf bintang,-3.09,24,2
kasihan,-3.09,138,109
meninggal,-3.08,22,1
flu,-3.08,29,5
kecewa dokter,-3.08,22,1
ngawur,-3.08,22,1
pajak,-3.08,22,1
dokter apa,-3.08,22,1
ditinggal,-3.08,32,7
intinya,-3.08,43,15
ngeyel,-3.08,22,1
kurang profesional,-3.08,22,1
tiba tiba,-3.08,32,7
rs lain,-3.08,22,1
tolong bagian,-3.08,22,1
dibuat,-3.07,49,20
baru panggil,-3.07,20,0
dibentak2,-3.07,20,0
ngerumpi,-3.07,20,0
tolong jangan,-3.07,20,0
terhormat,-3.07,20,0
awal bilang,-3.07,20,0
malah bentak,-3.07,20,0
sengak,-3.07,20,0
parahnya,-3.07,20,0
dokternya malah,-3.07,20,0
pengalaman buruk,-3.07,20,0
molor,-3.06,27,4
stlh,-3.06,27,4
terdaftar,-3.06,36,10
pake kacamata,-3.06,27,4
berkali,-3.06,44,16
dokter tersebut,-3.06,27,4
obat lama,-3.06,50,21
tujuan,-3.05,51,22
resepsionis,-3.05,45,17
bru,-3.05,33,8
dinas kesehatan,-3.04,41,14
pasti,-3.04,124,95
kasir,-3.04,112,82
biasanya,-3.03,88,57
sedih,-3.03,25,3
rendah,-3.03,46,18
dr awal,-3.02,34,9
dimana,-3.02,63,33
disana,-3.02,171,149
sewot,-3.01,23,2
sesuai,-3.01,505,575
apa karna,-3.01,23,2
30 baru,-3.01,23,2
mulu,-3.01,23,2
mw,-3.01,23,2
gapapa,-3.01,28,5
disalahkan,-3.0,19,0
dibilangin,-3.0,21,1
umum lama,-3.0,19,0
niat hati,-3.0,21,1
kondisi sakit,-3.0,21,1
padahal minta,-3.0,21,1
padahal jelas,-3.0,19,0
kesiangan,-3.0,21,1
tulisannya,-3.0,19,0
minum,-3.0,95,65
seng,-3.0,21,1
malah dibentak,-3.0,21,1
menyepelekan,-3.0,21,1
gaji buta,-3.0,19,0
suruh pulang,-3.0,19,0
nahan sakit,-3.0,19,0
bayangin,-3.0,19,0
usah kerja,-3.0,19,0
kesel,-3.0,21,1
training,-3.0,21,1
disuruh daftar,-3.0,19,0
lek,-3.0,21,1
miris,-3.0,19,0
bakal,-2.99,57,28
pns,-2.98,26,4
diperlakukan,-2.98,26,4
berkas,-2.98,44,17
manual,-2.98,44,17
ngurus surat,-2.97,29,6
10 30,-2.97,29,6
petugas kurang,-2.97,29,6
ditanyakan,-2.97,29,6
14 30,-2.97,32,8
hbs,-2.97,29,6
berkali kali,-2.97,40,14
muda,-2.96,131,105
berubah,-2.96,53,25
tegur,-2.95,24,3
lambung,-2.95,41,15
daftar lagi,-2.95,24,3
bagian kia,-2.94,69,40
timbang,-2.94,37,12
dirumah,-2.94,55,27
telepon,-2.94,33,9
bawah,-2.94,55,27
sikapnya,-2.93,22,2
kocak,-2.93,22,2
pakai kacamata,-2.93,22,2
ra,-2.93,22,2
duh,-2.93,22,2
lama datang,-2.93,22,2
cahyadi,-2.93,22,2
kyak,-2.93,22,2
tolong ditingkatkan,-2.93,30,7
smpek,-2.93,22,2
setau,-2.93,22,2
tanya lagi,-2.93,22,2
merugikan,-2.93,22,2
stelah,-2.93,22,2
gigi buruk,-2.92,18,0
lagi nunggu,-2.92,18,0
mestinya,-2.92,18,0
malah marah,-2.92,18,0
kabeh,-2.92,20,1
suruh beli,-2.92,18,0
lagi besok,-2.92,18,0
anak bayi,-2.92,20,1
nunggu baru,-2.92,18,0
kali kecewa,-2.92,18,0
perhatikan lagi,-2.92,18,0
ramah2nya,-2.92,20,1
nulis,-2.92,20,1
omong,-2.92,20,1
beli sendiri,-2.92,18,0
apa malah,-2.92,18,0
bilang tutup,-2.92,18,0
dipikir,-2.92,18,0
attitudenya,-2.92,20,1
astaghfirullah,-2.92,18,0
dipanggil duluan,-2.92,18,0
malah surat,-2.92,18,0
ad,-2.91,50,23
tangani,-2.91,61,33
bagian umum,-2.9,31,8
masih belum,-2.9,31,8
sepuh,-2.9,31,8
knpa,-2.9,25,4
riwayat,-2.9,39,14
cmn,-2.89,35,11
paham,-2.89,104,77
review,-2.89,65,37
kandungan,-2.89,65,37
obat tanpa,-2.87,23,3
laporan,-2.87,32,9
diberi obat,-2.87,23,3
kluar,-2.87,23,3
lagi lagi,-2.87,23,3
pakek,-2.87,41,16
bagian tensi,-2.86,26,5
22,-2.86,29,7
menolak,-2.86,29,7
11 30,-2.86,29,7
print,-2.86,26,5
indikasi,-2.86,26,5
nek,-2.86,26,5
sdm,-2.86,48,22
rusak,-2.85,37,13
kene,-2.85,21,2
debat,-2.85,21,2
libur,-2.85,42,17
meminta surat,-2.85,37,13
anak kecil,-2.85,60,33
tanya baik,-2.85,21,2
menegur,-2.85,21,2
blm dipanggil,-2.84,19,1
langsung obat,-2.84,19,1
zonk,-2.84,19,1
sakit surat,-2.84,19,1
kata2,-2.84,19,1
mampu,-2.84,50,24
nang,-2.84,19,1
jujur kecewa,-2.84,19,1
etis,-2.84,19,1
mukanya,-2.84,19,1
tolong perhatikan,-2.83,17,0
teguran,-2.83,17,0
buruk apalagi,-2.83,17,0
bayar bukan,-2.83,17,0
tt,-2.83,44,19
jangan asal,-2.83,17,0
apa dokter,-2.83,17,0
masih muda,-2.83,52,26
tolong tindak,-2.83,17,0
benar2,-2.83,38,14
suruh datang,-2.83,17,0
bobrok,-2.83,17,0
apapun,-2.83,74,47
kontrol,-2.83,174,159
obat lagi,-2.83,17,0
rumah,-2.83,279,289
gmna,-2.82,27,6
sing,-2.82,27,6
mintak,-2.82,24,4
mengeluh,-2.82,24,4
bisanya,-2.82,27,6
2021,-2.82,39,15
mnt,-2.82,27,6
karcis,-2.82,24,4
kanan,-2.82,34,11
byr,-2.82,24,4
resep obat,-2.82,34,11
cek tensi,-2.82,39,15
sadar,-2.82,24,4
kecil,-2.81,160,143
dokter,-2.81,2692,3740
pilih,-2.81,46,21
rujukan rumah,-2.8,31,9
pcr,-2.8,40,16
lamaaa,-2.79,22,3
kurang puas,-2.79,22,3
ehh,-2.79,22,3
berjam2,-2.79,22,3
suratnya,-2.79,22,3
puyer,-2.79,22,3
nambah,-2.78,28,7
domisili,-2.78,64,38
ramah judes,-2.78,25,5
ditanyai,-2.78,25,5
judes ramah,-2.77,20,2
pas tanya,-2.77,20,2
obat padahal,-2.77,20,2
lapor,-2.77,20,2
kemana,-2.77,50,25
3jam,-2.77,20,2
abis,-2.77,51,26
tanya baik2,-2.77,20,2
berat,-2.76,52,27
jelas jelas,-2.75,18,1
negara,-2.75,33,11
dibentak bentak,-2.75,18,1
padahal bayar,-2.75,18,1
jawabanya,-2.75,16,0
disuruh datang,-2.75,18,1
tolong pemerintah,-2.75,16,0
mengeluarkan surat,-2.75,16,0
baru selesai,-2.75,18,1
panggil panggil,-2.75,18,1
pecat,-2.75,16,0
lamaaaa,-2.75,16,0
malah jawab,-2.75,16,0
diinfo,-2.75,18,1
posisinya,-2.75,16,0
