id_puskesmas,puskesmas,wilayah,dimensi,n_ulasan,n_keluhan,komposisi_%,intensitas,intensitas_CI95,intensitas_shrunk,skor_1_5,kepercayaan,cukup_dinilai
PKM_SBY_052,Rangkah,Surabaya,Empathy,82,42,26.4,0.512,"[0.41, 0.62]",0.513,3.02,Cukup banyak data,True
PKM_SBY_053,Sememi,Surabaya,Empathy,127,73,32.7,0.575,"[0.49, 0.66]",0.568,3.9,Cukup banyak data,True
PKM_SBY_054,Sidotopo,Surabaya,Empathy,62,31,29.8,0.5,"[0.38, 0.62]",0.504,2.95,Cukup banyak data,True
PKM_SBY_055,Sidotopo Wetan,Surabaya,Empathy,118,81,43.5,0.686,"[0.60, 0.76]",0.666,4.87,Cukup banyak data,True
PKM_SBY_056,Simolawang,Surabaya,Empathy,36,17,25.4,0.472,"[0.32, 0.63]",0.487,2.76,Cukup banyak data,True
PKM_SBY_057,Simomulyo,Surabaya,Empathy,115,59,29.9,0.513,"[0.42, 0.60]",0.514,3.05,Cukup banyak data,True
PKM_SBY_058,Tambakrejo,Surabaya,Empathy,84,52,36.6,0.619,"[0.51, 0.72]",0.602,4.34,Cukup banyak data,True
PKM_SBY_059,Tanah Kali Kedinding,Surabaya,Empathy,110,57,30.2,0.518,"[0.43, 0.61]",0.518,3.14,Cukup banyak data,True
PKM_SBY_060,Tanjungsari,Surabaya,Empathy,68,42,33.3,0.618,"[0.50, 0.72]",0.598,4.31,Cukup banyak data,True
PKM_SBY_061,Tembok Dukuh,Surabaya,Empathy,114,67,34.0,0.588,"[0.50, 0.67]",0.579,4.06,Cukup banyak data,True
PKM_SBY_062,Tenggilis,Surabaya,Empathy,86,46,28.9,0.535,"[0.43, 0.64]",0.532,3.36,Cukup banyak data,True
PKM_SBY_063,Wonokusumo,Surabaya,Empathy,100,64,39.5,0.64,"[0.54, 0.73]",0.623,4.62,Cukup banyak data,True
PKM_SMG_001,Bandarharjo,Semarang,Empathy,33,12,28.6,0.364,"[0.22, 0.53]",0.415,1.63,Cukup banyak data,True
PKM_SMG_002,Bangetayu,Semarang,Empathy,88,32,28.6,0.364,"[0.27, 0.47]",0.388,1.41,Cukup banyak data,True
PKM_SMG_003,Bugangan,Semarang,Empathy,11,0,0.0,0.0,"[0.00, 0.26]",0.311,1.09,Datanya sedang,True
PKM_SMG_004,Bulu Lor,Semarang,Empathy,33,14,36.8,0.424,"[0.27, 0.59]",0.456,2.1,Cukup banyak data,True
PKM_SMG_005,Candilama,Semarang,Empathy,71,29,36.2,0.408,"[0.30, 0.52]",0.429,1.76,Cukup banyak data,True
PKM_SMG_006,Gayamsari,Semarang,Empathy,52,12,20.3,0.231,"[0.14, 0.36]",0.3,1.06,Cukup banyak data,True
PKM_SMG_007,Genuk,Semarang,Empathy,28,13,37.1,0.464,"[0.30, 0.64]",0.484,2.7,Datanya sedang,True
PKM_SMG_008,Gunungpati,Semarang,Empathy,54,14,21.9,0.259,"[0.16, 0.39]",0.32,1.16,Cukup banyak data,True
PKM_SMG_009,Halmahera,Semarang,Empathy,44,14,24.6,0.318,"[0.20, 0.47]",0.373,1.35,Cukup banyak data,True
PKM_SMG_010,Kagok,Semarang,Empathy,51,14,21.9,0.275,"[0.17, 0.41]",0.334,1.25,Cukup banyak data,True
PKM_SMG_011,Karangayu,Semarang,Empathy,68,21,23.6,0.309,"[0.21, 0.43]",0.35,1.31,Cukup banyak data,True
PKM_SMG_012,Karangdoro,Semarang,Empathy,47,23,40.4,0.489,"[0.35, 0.63]",0.497,2.86,Cukup banyak data,True
PKM_SMG_013,Karangmalang,Semarang,Empathy,25,8,29.6,0.32,"[0.17, 0.52]",0.399,1.5,Datanya sedang,True
PKM_SMG_014,Kedungmundu,Semarang,Empathy,89,22,20.6,0.247,"[0.17, 0.35]",0.29,1.03,Cukup banyak data,True
PKM_SMG_015,Krobokan,Semarang,Empathy,39,14,32.6,0.359,"[0.23, 0.52]",0.406,1.54,Cukup banyak data,True
PKM_SMG_016,Lamper Tengah,Semarang,Empathy,23,2,8.3,0.087,"[0.02, 0.27]",0.267,1.0,Datanya sedang,True
PKM_SMG_017,Lebdosari,Semarang,Empathy,47,21,35.0,0.447,"[0.31, 0.59]",0.465,2.29,Cukup banyak data,True
PKM_SMG_018,Mangkang,Semarang,Empathy,8,3,27.3,0.375,"[0.14, 0.69]",0.471,2.42,Data terbatas,False
PKM_SMG_019,Manyaran,Semarang,Empathy,42,18,38.3,0.429,"[0.29, 0.58]",0.454,2.04,Cukup banyak data,True
PKM_SMG_020,Mijen,Semarang,Empathy,76,32,34.4,0.421,"[0.32, 0.53]",0.438,1.82,Cukup banyak data,True
PKM_SMG_021,Miroto,Semarang,Empathy,25,11,40.7,0.44,"[0.27, 0.63]",0.471,2.42,Datanya sedang,True
PKM_SMG_022,Ngaliyan,Semarang,Empathy,77,31,30.7,0.403,"[0.30, 0.51]",0.423,1.69,Cukup banyak data,True
PKM_SMG_023,Ngemplak Simongan,Semarang,Empathy,22,4,14.8,0.182,"[0.07, 0.39]",0.326,1.19,Datanya sedang,True
PKM_SMG_024,Ngesrep,Semarang,Empathy,33,15,45.5,0.455,"[0.30, 0.62]",0.476,2.51,Cukup banyak data,True
PKM_SMG_025,Padangsari,Semarang,Empathy,22,4,15.4,0.182,"[0.07, 0.39]",0.326,1.19,Datanya sedang,True
PKM_SMG_026,Pandanaran,Semarang,Empathy,38,14,28.6,0.368,"[0.23, 0.53]",0.414,1.6,Cukup banyak data,True
PKM_SMG_027,Pegandan,Semarang,Empathy,2,0,0.0,0.0,"[0.00, 0.66]",0.462,2.17,Data terbatas,False
PKM_SMG_028,Poncol,Semarang,Empathy,39,15,31.9,0.385,"[0.25, 0.54]",0.424,1.72,Cukup banyak data,True
PKM_SMG_029,Pudakpayung,Semarang,Empathy,21,7,24.1,0.333,"[0.17, 0.55]",0.415,1.63,Datanya sedang,True
PKM_SMG_030,Purwoyoso,Semarang,Empathy,27,15,44.1,0.556,"[0.37, 0.72]",0.541,3.58,Datanya sedang,True
PKM_SMG_031,Rowosari,Semarang,Empathy,62,16,21.1,0.258,"[0.17, 0.38]",0.313,1.13,Cukup banyak data,True
PKM_SMG_032,Sekaran,Semarang,Empathy,62,18,25.0,0.29,"[0.19, 0.41]",0.338,1.28,Cukup banyak data,True
PKM_SMG_033,Srondol,Semarang,Empathy,38,16,33.3,0.421,"[0.28, 0.58]",0.45,1.94,Cukup banyak data,True
PKM_SMG_034,Tambakaji,Semarang,Empathy,18,5,21.7,0.278,"[0.12, 0.51]",0.393,1.47,Datanya sedang,True
PKM_SMG_035,Telogosari Kulon,Semarang,Empathy,96,44,34.4,0.458,"[0.36, 0.56]",0.467,2.32,Cukup banyak data,True
PKM_SMG_036,Telogosari Wetan,Semarang,Empathy,54,29,45.3,0.537,"[0.41, 0.66]",0.532,3.36,Cukup banyak data,True
PKM_SMG_037,Karanganyar,Semarang,Empathy,12,5,33.3,0.417,"[0.19, 0.68]",0.475,2.48,Datanya sedang,True
PKM_BTL_001,Bambanglipuro,Bantul,Tangibles,27,2,4.9,0.074,"[0.02, 0.23]",0.064,3.71,Datanya sedang,True
PKM_BTL_002,Banguntapan 1,Bantul,Tangibles,69,6,5.6,0.087,"[0.04, 0.18]",0.076,4.28,Cukup banyak data,True
PKM_BTL_003,Banguntapan 2,Bantul,Tangibles,89,10,7.0,0.112,"[0.06, 0.19]",0.094,4.78,Cukup banyak data,True
PKM_BTL_004,Banguntapan 3,Bantul,Tangibles,68,3,3.0,0.044,"[0.02, 0.12]",0.049,2.45,Cukup banyak data,True
PKM_BTL_005,Bantul 1,Bantul,Tangibles,50,1,1.1,0.02,"[0.00, 0.10]",0.037,1.5,Cukup banyak data,True
PKM_BTL_006,Bantul 2,Bantul,Tangibles,33,3,5.0,0.091,"[0.03, 0.24]",0.072,4.09,Cukup banyak data,True
PKM_BTL_007,Dlingo 1,Bantul,Tangibles,19,0,0.0,0.0,"[0.00, 0.17]",0.039,1.63,Datanya sedang,True
PKM_BTL_008,Dlingo 2,Bantul,Tangibles,9,0,0.0,0.0,"[0.00, 0.30]",0.047,2.23,Data terbatas,False
PKM_BTL_009,Imogiri 1,Bantul,Tangibles,24,2,5.4,0.083,"[0.02, 0.26]",0.066,3.9,Datanya sedang,True
PKM_BTL_010,Imogiri 2,Bantul,Tangibles,28,3,6.5,0.107,"[0.04, 0.27]",0.077,4.34,Datanya sedang,True
PKM_BTL_011,Jetis 1,Bantul,Tangibles,31,1,1.9,0.032,"[0.01, 0.16]",0.047,2.23,Cukup banyak data,True
PKM_BTL_012,Jetis 2,Bantul,Tangibles,12,1,5.0,0.083,"[0.01, 0.35]",0.063,3.68,Datanya sedang,True
PKM_BTL_013,Kasihan 1,Bantul,Tangibles,148,10,4.0,0.068,"[0.04, 0.12]",0.065,3.77,Cukup banyak data,True
PKM_BTL_014,Kasihan 2,Bantul,Tangibles,84,8,5.6,0.095,"[0.05, 0.18]",0.082,4.53,Cukup banyak data,True
PKM_BTL_015,Kretek,Bantul,Tangibles,26,6,12.5,0.231,"[0.11, 0.42]",0.123,4.94,Datanya sedang,True
PKM_BTL_016,Pajangan,Bantul,Tangibles,31,2,3.7,0.065,"[0.02, 0.21]",0.06,3.46,Cukup banyak data,True
