id_puskesmas,dimensi,z,p_value,vs_peer,n_peer
PKM_SBY_005,Empathy,-1.602,0.1091,setara,8121
PKM_SBY_006,Empathy,0.785,0.4322,setara,8144
PKM_SBY_007,Empathy,2.051,0.0403,lebih sering dikeluhkan,8110
PKM_SBY_008,Empathy,0.58,0.5618,setara,8123
PKM_SBY_009,Empathy,1.665,0.096,setara,8192
PKM_SBY_010,Empathy,2.244,0.0248,lebih sering dikeluhkan,8198
PKM_SBY_011,Empathy,0.97,0.3319,setara,8157
PKM_SBY_012,Empathy,1.724,0.0847,setara,8203
PKM_SBY_013,Empathy,1.631,0.1028,setara,8118
PKM_SBY_014,Empathy,-1.612,0.107,setara,8196
PKM_SBY_015,Empathy,1.839,0.066,setara,8209
PKM_SBY_016,Empathy,0.463,0.6436,setara,8152
PKM_SBY_017,Empathy,3.066,0.0022,lebih sering dikeluhkan,8167
PKM_SBY_018,Empathy,1.225,0.2206,setara,8194
PKM_SBY_019,Empathy,2.668,0.0076,lebih sering dikeluhkan,8179
PKM_SBY_020,Empathy,0.205,0.8373,setara,8201
PKM_SBY_021,Empathy,1.279,0.2009,setara,8189
PKM_SBY_022,Empathy,1.484,0.1378,setara,8238
PKM_SBY_023,Empathy,1.177,0.2393,setara,8190
PKM_SBY_024,Empathy,0.965,0.3344,setara,8266
PKM_SBY_025,Empathy,0.908,0.3637,setara,8186
PKM_SBY_026,Empathy,1.692,0.0906,setara,8215
PKM_SBY_027,Empathy,5.127,0.0,lebih sering dikeluhkan,8158
PKM_SBY_028,Empathy,-0.323,0.7469,setara,8185
PKM_SBY_029,Empathy,1.28,0.2005,setara,8207
PKM_SBY_030,Empathy,-0.001,0.9989,setara,8182
PKM_SBY_031,Empathy,0.055,0.9564,setara,8221
PKM_SBY_032,Empathy,5.687,0.0,lebih sering dikeluhkan,8133
PKM_SBY_033,Empathy,1.378,0.1682,setara,8213
PKM_SBY_034,Empathy,-0.765,0.4442,setara,8125
PKM_SBY_035,Empathy,1.9,0.0575,setara,8199
PKM_SBY_036,Empathy,1.902,0.0572,setara,8218
PKM_SBY_037,Empathy,-3.171,0.0015,lebih jarang dikeluhkan,8158
PKM_SBY_038,Empathy,1.46,0.1442,setara,8194
PKM_SBY_039,Empathy,2.595,0.0094,lebih sering dikeluhkan,8175
PKM_SBY_040,Empathy,2.368,0.0179,lebih sering dikeluhkan,8224
PKM_SBY_041,Empathy,0.069,0.9447,setara,8173
PKM_SBY_042,Empathy,0.669,0.5038,setara,8234
PKM_SBY_043,Empathy,3.305,0.0009,lebih sering dikeluhkan,8197
PKM_SBY_044,Empathy,-0.285,0.7758,setara,8154
PKM_SBY_045,Empathy,-2.685,0.0073,lebih jarang dikeluhkan,8056
PKM_SBY_046,Empathy,2.561,0.0104,lebih sering dikeluhkan,8105
PKM_SBY_047,Empathy,-1.784,0.0744,setara,8150
PKM_SBY_048,Empathy,0.79,0.4298,setara,8231
PKM_SBY_049,Empathy,-0.776,0.4377,setara,8195
PKM_SBY_050,Empathy,0.422,0.6727,setara,8180
PKM_SBY_051,Empathy,-0.77,0.4413,setara,8189
PKM_SBY_052,Empathy,-0.101,0.9198,setara,8185
PKM_SBY_053,Empathy,1.297,0.1945,setara,8140
PKM_SBY_054,Empathy,-0.28,0.7792,setara,8205
PKM_SBY_055,Empathy,3.694,0.0002,lebih sering dikeluhkan,8149
PKM_SBY_056,Empathy,-0.548,0.584,setara,8231
PKM_SBY_057,Empathy,-0.101,0.9195,setara,8152
PKM_SBY_058,Empathy,1.868,0.0618,setara,8183
PKM_SBY_059,Empathy,0.01,0.9922,setara,8157
PKM_SBY_060,Empathy,1.656,0.0977,setara,8199
PKM_SBY_061,Empathy,1.506,0.132,setara,8153
PKM_SBY_062,Empathy,0.32,0.7488,setara,8181
PKM_SBY_063,Empathy,2.462,0.0138,lebih sering dikeluhkan,8167
PKM_SMG_001,Empathy,-1.775,0.0759,setara,8234
PKM_SMG_002,Empathy,-2.908,0.0036,lebih jarang dikeluhkan,8179
PKM_SMG_003,Empathy,-3.439,0.0006,lebih jarang dikeluhkan,8256
PKM_SMG_004,Empathy,-1.077,0.2816,setara,8234
PKM_SMG_005,Empathy,-1.851,0.0642,setara,8196
PKM_SMG_006,Empathy,-4.154,0.0,lebih jarang dikeluhkan,8215
PKM_SMG_007,Empathy,-0.567,0.5708,setara,8239
PKM_SMG_008,Empathy,-3.813,0.0001,lebih jarang dikeluhkan,8213
